,Date,Adilabad_Temp,Adilabad_Upper_Limit,Adilabad_Lower_Limit,Adilabad_HeatWave,Karimnagar_Temp,Karimnagar_Upper_Limit,Karimnagar_Lower_Limit,Karimnagar_HeatWave,Khammam_Temp,Khammam_Upper_Limit,Khammam_Lower_Limit,Khammam_HeatWave,Nizamabad_Temp,Nizamabad_Upper_Limit,Nizamabad_Lower_Limit,Nizamabad_HeatWave,Warangal_Temp,Warangal_Upper_Limit,Warangal_Lower_Limit,Warangal_HeatWave
236,24-05-2023,38.001045,41.32704149,34.67504896,0,37.6936,40.18712913,35.20007027,0,37.67808,39.9913802,35.36478282,0,37.891983,41.12652968,34.65743639,0,29.00933,37.63844469,20.38021681,0
237,25-05-2023,37.639984,40.96602898,34.31393928,0,36.98083,39.474397,34.48726529,0,36.12334,38.43667309,33.81000813,0,38.206013,41.44060662,34.97141883,0,29.090668,37.71990772,20.46142773,0
238,26-05-2023,37.92882,41.25491585,34.60272728,0,37.270622,39.76422517,34.77701933,0,37.600117,39.91348359,35.28674986,0,36.91498,40.14962382,33.68033987,0,28.828773,37.45814175,20.19940524,0
239,27-05-2023,37.938435,41.26457918,34.61229002,0,37.64001,40.13365146,35.14637021,0,37.713924,40.02732625,35.40052257,0,37.090748,40.32543871,33.85605695,0,28.85476,37.48425794,20.22526049,0
240,28-05-2023,37.817852,41.14404774,34.4916563,0,37.946083,40.43976203,35.45240411,0,37.61823,39.93166632,35.3047915,0,37.646862,40.88160264,34.41212142,0,28.720507,37.35013808,20.09087526,0
241,29-05-2023,37.429054,40.75530197,34.10280655,0,37.986816,40.48053435,35.49309846,0,37.74733,40.06080329,35.43385614,0,37.72098,40.95577278,34.48619042,0,28.68004,37.30980666,20.05027406,0
242,30-05-2023,37.381435,40.70773595,34.05513484,0,37.68648,40.18023904,35.19272392,0,37.59904,39.91255131,35.28553066,0,37.31132,40.54616383,34.07647869,0,28.492912,37.12281569,19.86300889,0
243,31-05-2023,37.166122,40.49247669,33.83976819,0,36.61364,39.10743765,34.11984202,0,37.259552,39.57309968,34.94600433,0,36.874855,40.10974983,33.63996025,0,28.46133,37.09137312,19.8312877,0
244,01-06-2023,36.977787,40.30419581,33.65137822,0,36.61903,39.11286871,34.12519129,0,37.006374,39.31995997,34.69278875,0,36.4606,39.69554964,33.22565397,0,28.188051,36.81823545,19.557867,0
245,02-06-2023,36.818775,40.14523937,33.49231098,0,36.290955,38.78483483,33.79707435,0,36.577747,38.89137149,34.2641232,0,35.965336,39.20033755,32.73033414,0,28.253347,36.88367535,19.62301944,0
246,03-06-2023,36.204582,39.53110266,32.87806177,0,36.442524,38.93644637,33.94860154,0,37.100384,39.41404702,34.78672049,0,35.572224,38.80728008,32.33716725,0,28.373795,37.00426845,19.74332066,0
247,04-06-2023,36.471233,39.79781091,33.14465582,0,36.74118,39.23514564,34.2472152,0,36.255085,38.56878797,33.94138201,0,35.843693,39.07880472,32.60858084,0,28.301268,36.93188966,19.67064559,0
248,05-06-2023,36.365963,39.69259848,33.03932749,0,35.19325,37.68725742,32.69924008,0,36.58846,38.9022023,34.27471573,0,34.95574,38.19091018,31.72057358,0,28.358677,36.9894493,19.72790452,0
249,06-06-2023,36.676884,40.003578,33.3501894,0,35.38679,37.88084398,32.89273848,0,36.793625,39.10740906,34.47984069,0,35.705715,38.94094067,32.47048969,0,28.335073,36.96599842,19.70414852,0
250,07-06-2023,36.443882,39.77063594,33.11712804,0,36.686024,39.18012119,34.19192623,0,37.14496,39.45878417,34.83113282,0,35.557922,38.79320586,32.32263886,0,27.958838,36.58991723,19.32775779,0
251,08-06-2023,35.966934,39.29374866,32.64011975,0,35.700607,38.19475014,33.20646446,0,37.073086,39.38695354,34.75921803,0,34.905056,38.14039834,31.66971366,0,27.685534,36.31677022,19.05429683,0
252,09-06-2023,36.094036,39.42091192,32.76716029,0,36.972885,39.46707397,34.47869629,0,36.702084,39.01599402,34.38817315,0,35.522663,38.75806513,32.2872611,0,27.85931,36.49070603,19.22791427,0
253,10-06-2023,36.21152,39.53845917,32.88458313,0,36.962948,39.45718332,34.46871237,0,37.182762,39.49671585,34.86880845,0,35.358063,38.59352525,32.12260023,0,27.532452,36.16400891,18.90089435,0
254,11-06-2023,36.419735,39.74673604,33.09273387,0,37.318832,39.81311515,34.82454965,0,37.49526,39.80925589,35.18126077,0,35.451416,38.68693985,32.21589218,0,27.383945,36.01566635,18.75222459,0
255,12-06-2023,36.192066,39.51913118,32.8650012,0,37.51536,40.00969245,35.02103112,0,37.180733,39.49477474,34.86669072,0,36.44133,39.67691594,33.20574397,1,27.420145,36.05203172,18.78825835,0
256,13-06-2023,36.355484,39.68261376,33.02835426,0,36.76305,39.2574293,34.26867086,0,36.95393,39.26801695,34.63984285,0,36.60417,39.83982072,33.36852279,1,27.68749,36.31954517,19.05543576,0
257,14-06-2023,35.4611,38.78829689,32.13390617,0,35.70054,38.19496704,33.20611023,0,36.790684,39.10481643,34.47655106,0,34.210815,37.4465282,30.97510266,0,27.531914,36.16413869,18.89968883,0
258,15-06-2023,35.435783,38.76304521,32.10852156,0,35.015965,37.51044274,32.52148628,0,36.860916,39.17509505,34.54673723,0,34.02527,37.26104596,30.78949115,0,27.698465,36.33086271,19.06606799,0
259,16-06-2023,35.29938,38.62671039,31.97205212,0,35.85232,38.34685032,33.35779293,0,36.95596,39.27018505,34.64173359,0,34.647644,37.88348691,31.41180117,0,27.637108,36.26967985,19.00453585,0
260,17-06-2023,35.675518,39.00291533,32.34812074,0,35.55228,38.04686023,33.05770063,0,36.414692,38.72896506,34.10041879,0,34.39175,37.62765949,31.15584118,0,27.849642,36.48239065,19.21689295,0
261,18-06-2023,35.332043,38.65950901,32.00457638,0,34.47821,36.97284199,31.98357891,0,35.453556,37.7678772,33.13923492,0,33.869358,37.10533434,30.63338179,0,27.790504,36.42343235,19.15757656,0
262,19-06-2023,34.774765,38.10230119,31.44722884,0,35.025578,37.52026146,32.53089363,0,36.395897,38.71026664,34.08152718,0,34.155525,37.39156943,30.91948099,0,27.726025,36.35913379,19.09291547,0
263,20-06-2023,34.940296,38.26790307,31.61268928,0,35.88826,38.38299682,33.39352295,0,36.654816,38.96923459,34.34039676,0,35.321297,38.55740968,32.0851837,0,27.695873,36.32916589,19.06258064,0
264,21-06-2023,35.30442,38.63209893,31.97674201,0,35.866062,38.36085275,33.37127158,0,35.916695,38.23116333,33.60222595,0,34.95807,38.19425143,31.72188626,0,27.70671,36.34018911,19.07323252,0
265,22-06-2023,35.25241,38.58016176,31.92466002,0,34.869034,37.36387869,32.37418894,0,35.222076,37.53659547,32.90755736,0,33.733917,36.97017025,30.49766423,0,27.55167,36.18533625,18.9180039,0
266,23-06-2023,34.689365,38.01718953,31.36154125,0,33.65306,36.14796072,31.15816111,0,36.32624,38.64081055,34.01167053,0,33.257423,36.49374766,30.02109914,0,27.325062,35.95891806,18.69120554,0
267,24-06-2023,35.286552,38.61445069,31.95865417,0,35.172287,37.66724236,32.67733162,0,36.91601,39.23063337,34.60139025,0,34.188866,37.425262,30.95246932,0,27.388317,36.02236566,18.75426856,0
268,25-06-2023,35.15167,38.47964177,31.82369533,0,35.839886,38.33489729,33.34487414,0,37.1489,39.46357278,34.83422538,0,35.089375,38.32584379,31.8529053,0,27.345383,35.97962574,18.71113964,0
269,26-06-2023,34.88605,38.21410022,31.55800214,1,35.189346,37.68441473,32.6942779,0,36.9833,39.29802569,34.66857282,0,34.89197,38.12851457,31.65542861,0,27.756327,36.39076643,19.12188692,0
270,27-06-2023,34.712765,38.04089045,31.38463903,0,36.05581,38.55093491,33.56068313,1,36.922062,39.23684168,34.60728216,0,35.187656,38.42427394,31.95103886,1,27.85334,36.48797881,19.21870149,0
271,28-06-2023,34.828888,38.15709116,31.50068472,1,35.94711,38.44229323,33.45192521,1,36.585423,38.90025619,34.27058884,0,34.669216,37.90590908,31.43252323,0,28.268763,36.90360236,19.63392282,0
